location,Basel,Basel,Basel,Basel
lat,47.75000,47.75000,47.75000,47.75000
lon,7.50000,7.50000,7.50000,7.50000
asl,363.653,363.653,363.653,363.653
variable,Temperature,Wind Speed,Wind Direction,Shortwave Radiation
unit,°C,km/h,°,W/m²
level,2 m elevation corrected,10 m,10 m,sfc
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Wind Speed [10 m],Basel Wind Direction [10 m],Basel Shortwave Radiation
20200108T1400,7.7402453,4.3349743,184.76364,86.0
20200108T1500,7.7402453,5.8603754,169.38034,40.0
20200108T1600,6.8402452,5.6920996,161.56505,11.0
20200108T1700,6.0302453,5.6920996,161.56505,0.0
20200108T1800,6.2602453,5.937272,165.96376,0.0
20200108T1900,6.2002454,5.8603754,169.38034,0.0
20200108T2000,6.210245,5.8603754,169.38034,0.0
20200108T2100,6.2002454,5.937272,165.96376,0.0
20200108T2200,6.6602454,6.638072,167.47119,0.0
20200108T2300,6.8102455,7.628263,160.70996,0.0
20200109T0000,6.940245,8.209263,164.74487,0.0
20200109T0100,6.670245,7.342588,168.69006,0.0
20200109T0200,6.360245,6.2145634,169.99202,0.0
20200109T0300,6.0902452,6.379216,163.61046,0.0
20200109T0400,5.900245,6.830519,161.56505,0.0
20200109T0500,5.750245,6.830519,161.56505,0.0
20200109T0600,5.8102455,7.289444,159.77515,0.0
20200109T0700,5.9302454,7.8954163,155.77225,0.0
20200109T0800,5.860245,8.373386,154.53665,7.0
20200109T0900,6.400245,8.089993,159.14554,62.0
20200109T1000,8.450246,8.12197,167.19574,128.0
20200109T1100,9.930245,8.707238,172.87498,185.0
20200109T1200,11.330245,9.0645685,173.15723,209.0
20200109T1300,12.490245,7.42159,165.96376,229.0
20200109T1400,13.040245,7.172949,162.47443,198.0
20200109T1500,12.300245,7.10031,149.53445,109.0
20200109T1600,10.040245,7.9036193,149.93141,23.0
20200109T1700,8.770246,8.0899935,147.72435,0.0
20200109T1800,7.9102454,7.5942082,148.57043,0.0
20200109T1900,7.4902453,7.24486,153.43495,0.0
20200109T2000,7.210245,6.9247384,152.10272,0.0
20200109T2100,7.2002454,6.28713,156.37062,0.0
20200109T2200,7.980245,5.8603754,169.38034,0.0
20200109T2300,8.640245,7.2359104,185.71059,0.0
20200110T0000,8.740245,8.854829,206.56505,0.0
20200110T0100,9.480246,10.685391,212.61925,0.0
20200110T0200,9.090245,13.089354,211.50427,0.0
20200110T0300,8.920245,14.20062,210.46555,0.0
20200110T0400,8.850245,13.708391,203.1986,0.0
20200110T0500,8.870245,12.661564,194.82648,0.0
20200110T0600,8.710245,12.144331,191.97614,0.0
20200110T0700,8.570246,12.074766,190.30484,0.0
20200110T0800,8.440246,13.358861,194.03624,8.0
20200110T0900,8.970245,14.168641,207.21611,57.0
20200110T1000,10.120245,14.512064,209.74489,131.0
20200110T1100,10.720245,14.689588,216.02737,143.0
20200110T1200,11.030245,16.29174,225.0,167.0
20200110T1300,11.050245,16.78156,234.60521,232.0
20200110T1400,10.640245,14.512064,240.25513,142.0
20200110T1500,10.130245,11.770403,246.57132,73.0
20200110T1600,9.620245,9.227524,249.44395,12.0
20200110T1700,9.280245,7.42159,247.16635,0.0
20200110T1800,9.180245,6.830519,251.56506,0.0
20200110T1900,8.520246,5.3517847,250.34618,0.0
20200110T2000,8.320246,4.5536795,251.56506,0.0
20200110T2100,7.690245,4.452954,255.96376,0.0
20200110T2200,7.420245,3.6,270.0,0.0
20200110T2300,7.0302453,3.2599385,263.65982,0.0
20200111T0000,6.8002453,3.2399998,270.0,0.0
20200111T0100,6.0802455,3.8939953,303.69006,0.0
20200111T0200,5.630245,3.8268526,318.8141,0.0
20200111T0300,4.6002455,5.154415,335.22485,0.0
20200111T0400,4.4502454,1.2979984,56.30993,0.0
20200111T0500,4.4302454,2.7416782,293.1986,0.0
20200111T0600,4.4102454,4.2136917,340.0169,0.0
20200111T0700,4.7402453,4.2136917,19.983109,0.0
20200111T0800,4.630245,1.8,53.130096,8.0
20200111T0900,5.440245,1.609969,63.43495,64.0
20200111T1000,6.040245,3.0758414,20.556046,109.0
20200111T1100,6.9902453,4.198285,30.963745,152.0
20200111T1200,7.540245,4.39436,34.99202,180.0
20200111T1300,7.960245,3.563818,44.999985,161.0
20200111T1400,8.070246,3.6,36.86989,122.0
20200111T1500,7.8102455,2.4149535,63.43495,81.0
20200111T1600,7.5302453,2.7416782,113.19859,18.0
20200111T1700,6.7602453,1.484318,104.03624,0.0
20200111T1800,5.420245,4.072935,135.0,0.0
20200111T1900,4.2302456,4.3349743,138.36646,0.0
20200111T2000,3.7402453,3.396233,122.00538,0.0
20200111T2100,2.9602456,4.6938257,122.47119,0.0
20200111T2200,1.2702454,3.0758414,200.55605,0.0
20200111T2300,0.6002454,2.9024127,172.87498,0.0
20200112T0000,0.060245395,3.4152596,161.56505,0.0
20200112T0100,0.090245396,3.8773184,158.1986,0.0
20200112T0200,-0.11975461,4.5536795,161.56505,0.0
20200112T0300,-0.3197546,4.452954,165.96376,0.0
20200112T0400,-0.4597546,4.6938252,175.60129,0.0
20200112T0500,-0.3097546,4.6938252,175.60129,0.0
20200112T0600,-0.08975458,4.73506,171.25385,0.0
20200112T0700,0.100245416,5.0911684,171.8699,0.0
20200112T0800,0.13024542,5.4477882,172.40535,13.0
20200112T0900,0.8602454,5.7599998,180.0,97.0
20200112T1000,2.0702453,5.3517847,199.65382,187.0
20200112T1100,3.5202456,7.10031,210.46555,276.0
20200112T1200,4.5602455,8.161764,228.57634,310.0
20200112T1300,5.420245,7.928177,230.52754,286.0
20200112T1400,6.0602455,7.127636,225.0,217.0
20200112T1500,5.6202455,5.1919937,213.69006,128.0
20200112T1600,3.6602454,5.5887027,194.93143,33.0
20200112T1700,2.0602455,5.8048253,187.12502,0.0
20200112T1800,2.0702453,5.4119864,183.81407,0.0
20200112T1900,2.5702453,4.6938252,184.39871,0.0
20200112T2000,2.3802454,4.32,180.0,0.0
20200112T2100,2.1502454,4.6938252,175.60129,0.0
20200112T2200,1.8602453,4.3349743,175.23636,0.0
20200112T2300,2.0102453,4.0249224,169.69516,0.0
20200113T0000,1.7802454,3.671294,168.69006,0.0
20200113T0100,2.2502456,3.7585104,163.30075,0.0
20200113T0200,2.1802454,3.319036,167.47119,0.0
20200113T0300,2.0302453,3.4152596,161.56505,0.0
20200113T0400,2.2302454,4.2136917,160.01689,0.0
20200113T0500,2.7802453,3.8773184,158.1986,0.0
20200113T0600,2.8002453,4.5536795,161.56505,0.0
20200113T0700,2.7702456,5.315336,151.69923,0.0
20200113T0800,2.8502455,6.297428,149.03624,10.0
20200113T0900,3.5402455,7.9036193,149.93141,62.0
20200113T1000,4.380245,7.289445,147.09476,110.0
20200113T1100,5.650245,7.5685663,154.65382,174.0
20200113T1200,6.750245,6.9899354,168.11134,204.0
20200113T1300,7.7202454,6.87779,173.991,236.0
20200113T1400,8.480246,6.5693827,170.53767,198.0
20200113T1500,8.540245,5.315336,151.69923,122.0
20200113T1600,5.3902454,5.315336,151.69923,31.0
20200113T1700,4.2002454,6.297428,149.03624,0.0
20200113T1800,3.4402456,6.989936,145.49147,0.0
20200113T1900,2.8602452,8.0899935,147.72435,0.0
20200113T2000,2.3502455,7.5942082,148.57043,0.0
20200113T2100,1.8302454,6.792466,147.99461,0.0
20200113T2200,0.7902454,6.439876,153.43495,0.0
20200113T2300,0.3802454,7.729527,152.24146,0.0
20200114T0000,0.7102454,9.021574,151.38954,0.0
20200114T0100,0.7902454,9.021574,151.38954,0.0
20200114T0200,0.7902454,9.339208,152.44719,0.0
20200114T0300,0.84024537,8.707237,150.25511,0.0
20200114T0400,1.0002453,7.729527,152.24146,0.0
20200114T0500,1.0802454,8.217153,151.18921,0.0
20200114T0600,0.6002454,7.42159,157.16635,0.0
20200114T0700,0.9202454,7.754637,158.1986,0.0
20200114T0800,1.3802454,8.089993,159.14554,16.0
20200114T0900,3.1702452,8.427383,160.01689,91.0
20200114T1000,4.9102454,9.114471,170.90973,191.0
20200114T1100,7.3202453,9.6932955,164.9315,245.0
20200114T1200,8.910245,8.766573,160.82098,246.0
20200114T1300,10.160245,8.311245,162.34987,214.0
20200114T1400,10.570246,9.028754,156.50143,153.0
20200114T1500,10.410245,9.585739,145.71312,85.0
20200114T1600,9.430245,8.891343,148.24051,15.0
20200114T1700,8.000245,8.707237,150.25511,0.0
20200114T1800,7.020245,8.0899935,147.72435,0.0
20200114T1900,5.8302455,7.5942082,148.57043,0.0
20200114T2000,4.8202453,6.763786,154.79887,0.0
20200114T2100,4.3102455,6.763786,154.79887,0.0
20200114T2200,3.9302454,6.9899354,168.11134,0.0
20200114T2300,3.3302455,9.227524,159.44395,0.0
20200115T0000,2.9602456,7.7043357,142.59465,0.0
20200115T0100,2.8102455,7.653705,138.81407,0.0
20200115T0200,2.2202454,7.491114,144.78241,0.0
20200115T0300,2.0702453,7.4128532,150.94539,0.0
20200115T0400,1.1002455,7.24486,153.43495,0.0
20200115T0500,0.3902454,6.763786,154.79887,0.0
20200115T0600,-0.1997546,6.439876,153.43495,0.0
20200115T0700,-0.1397546,6.28713,156.37062,0.0
20200115T0800,0.6502454,6.6185193,157.61987,17.0
20200115T0900,3.2302456,7.628263,160.70996,114.0
20200115T1000,6.0302453,7.5685663,177.27368,217.0
20200115T1100,8.490246,9.47012,171.25385,294.0
20200115T1200,10.540245,8.654986,163.07248,322.0
20200115T1300,12.140245,7.968939,161.56505,286.0
20200115T1400,12.720245,7.6367526,171.8699,247.0
20200115T1500,12.660245,7.69592,169.2157,137.0
20200115T1600,10.570246,7.342588,168.69006,38.0
20200115T1700,8.900246,6.9899354,168.11134,0.0
20200115T1800,8.070246,7.342588,168.69006,0.0
20200115T1900,7.440245,7.2805495,171.46924,0.0
20200115T2000,6.8702455,7.2805495,171.46924,0.0
20200115T2100,6.690245,6.924738,171.02737,0.0
20200115T2200,7.040245,7.8625183,164.0546,0.0
20200115T2300,7.0302453,7.968939,161.56505,0.0
20200116T0000,7.2202454,7.968939,161.56505,0.0
20200116T0100,7.230245,7.968939,161.56505,0.0
20200116T0200,6.940245,6.830519,161.56505,0.0
20200116T0300,6.0502453,5.95906,154.98311,0.0
20200116T0400,5.2202454,5.95906,154.98311,0.0
20200116T0500,4.5702453,5.634891,153.43495,0.0
20200116T0600,3.7402453,4.6938257,147.52881,0.0
20200116T0700,3.1002455,4.6102495,141.34018,0.0
20200116T0800,3.1602454,5.904439,142.4314,9.0
20200116T0900,4.9302454,6.297428,149.03624,77.0
20200116T1000,8.300245,5.6002855,135.0,197.0
20200116T1100,10.290245,5.3999996,143.1301,282.0
20200116T1200,11.780245,5.904439,142.4314,323.0
20200116T1300,12.700245,5.6233797,140.19443,310.0
20200116T1400,12.970245,4.3349743,138.36646,248.0
20200116T1500,11.860246,5.6233797,140.19443,150.0
20200116T1600,9.020246,6.696387,143.74615,42.0
20200116T1700,7.190245,5.495161,148.3925,0.0
20200116T1800,5.6202455,5.634891,153.43495,0.0
20200116T1900,4.2902455,6.12,151.9275,0.0
20200116T2000,3.2102456,6.489992,146.30994,0.0
20200116T2100,2.3602452,5.991594,147.26477,0.0
20200116T2200,1.6102453,6.830519,161.56505,0.0
20200116T2300,0.9402454,7.0911775,156.0375,0.0
20200117T0000,0.7202454,5.8048253,150.25511,0.0
20200117T0100,0.3902454,5.1165614,140.71059,0.0
20200117T0200,0.14024541,5.3517847,132.27368,0.0
20200117T0300,0.3602454,6.3690495,137.2906,0.0
20200117T0400,0.00024539232,6.489992,146.30994,0.0
20200117T0500,-0.11975461,6.792466,147.99461,0.0
20200117T0600,-0.2697546,7.7043357,142.59465,0.0
20200117T0700,0.010245383,7.491114,144.78241,0.0
20200117T0800,0.8202454,7.10031,149.53445,17.0
20200117T0900,2.6802454,7.628263,160.70996,91.0
20200117T1000,4.4802456,8.049845,169.69516,119.0
20200117T1100,5.690245,7.5170207,163.30075,87.0
20200117T1200,6.380245,6.830519,161.56505,44.0
20200117T1300,7.380245,6.924738,171.02737,72.0
20200117T1400,7.5102453,7.6367526,171.8699,47.0
20200117T1500,7.8502455,8.287822,177.51045,24.0
20200117T1600,7.7802453,8.64,180.0,9.0
20200117T1700,7.520245,9.007196,182.2906,0.0
20200117T1800,7.2802453,8.350138,187.43141,0.0
20200117T1900,7.000245,8.311245,197.65013,0.0
20200117T2000,6.9102454,7.9036193,210.06859,0.0
20200117T2100,6.8002453,7.653705,228.81409,0.0
20200117T2200,7.0702453,6.9247384,207.89728,0.0
20200117T2300,7.0702453,8.404285,223.2643,0.0
20200118T0000,6.8702455,7.6367526,225.0,0.0
20200118T0100,6.5302453,7.386582,226.97495,0.0
20200118T0200,6.040245,7.7043357,232.59465,0.0
20200118T0300,5.5602455,6.4096174,218.15723,0.0
20200118T0400,5.3302455,6.12,208.0725,0.0
20200118T0500,4.8102455,6.12,208.0725,0.0
20200118T0600,4.6802454,6.439876,206.56505,0.0
20200118T0700,4.5802455,6.489992,199.44003,0.0
20200118T0800,4.2502456,6.830519,198.43495,15.0
20200118T0900,4.6202455,7.8954163,204.22775,93.0
20200118T1000,5.480245,8.669949,228.36647,114.0
20200118T1100,6.170245,10.739832,230.44034,219.0
20200118T1200,6.4502454,9.511088,240.52411,220.0
20200118T1300,6.5802455,9.449572,252.25534,174.0
20200118T1400,6.4702454,10.805999,268.09085,153.0
20200118T1500,6.1202455,6.519877,276.34018,100.0
20200118T1600,5.4102454,5.8048253,277.125,33.0
20200118T1700,4.3402452,3.96,270.0,0.0
20200118T1800,3.5102453,1.9386592,201.8014,0.0
20200118T1900,2.9402456,0.8049845,206.56505,0.0
20200118T2000,2.7402453,0.35999998,180.0,0.0
20200118T2100,2.4502454,0.0,180.0,0.0
20200118T2200,2.1602454,4.452954,14.03624,0.0
20200118T2300,0.97024536,8.557102,22.249008,0.0
