run_id,hour,Radiation,CO2,CO,PM10,PM25,CO2_Removed_g,CO_Removed_ug,PM10_Removed_ug,PM25_Removed_ug,O2_Produced_g
76,7,0.0,441.6568009965629,267.5678688991465,12.000599056590112,24.89047269359358,267.99408059793774,57794.65968221564,103685.17584893857,129032.2104435891,192.95573803051516
76,8,0.0,437.58713814408685,256.10590940270424,9.52299530785783,24.64912611374792,265.5522828864521,55318.87643098412,82278.67945989166,127781.06977366918,191.1976436782455
76,9,0.0,432.1473600844268,244.87055089148365,6.032520675670325,24.368275530051864,262.28841605065605,52892.03899256047,52120.9786377916,126325.14034778884,188.84765955647237
76,10,0.0,423.6406591994812,230.41953830254002,2.607354007384618,22.572261589995342,257.18439551968874,49770.62027334864,22527.538623803102,117014.60408253585,185.17276477417587
76,11,0.0,417.63269148570424,218.10180308296285,3.434304894365593,22.062681817387354,253.57961489142255,47109.98946591998,29672.394287318726,114372.94254133603,182.57732272182423
76,12,0.0,422.4458520834489,212.38396085316944,0.5182136257756316,20.18390101085574,256.4675112500694,45874.9355442846,4477.365726701458,104633.34284027616,184.65660810004994
76,13,1400.0,419.6302970560137,209.0654058449593,0.1,26.72815903102181,3194.778178233608,45158.12766251121,864.0000000000001,138558.77641681704,2300.2402883281975
76,14,1400.0,422.083163413352,207.13722750169012,0.1,25.402319321927585,3196.249898048011,44741.64114036507,864.0000000000001,131685.6233648726,2301.2999265945678
76,15,1386.503204992631,415.28931692882514,208.99534563696804,0.9180472813484535,25.924475438604215,3163.8303206418195,45142.9946575851,7931.928510850639,134392.48067372423,2277.95783086211
76,16,0.0,436.7186764771164,225.92856950122638,0.3216552219768509,24.84225368177374,265.03120588626984,48800.5710122649,2779.1011178799918,128782.24308631505,190.82246823811428
76,17,1400.0,447.54687486367214,244.71838887725266,1.3057855741813897,25.298216793673276,3211.5281249182026,52859.17199748658,11281.987360927207,131145.95585840225,2312.300249941106
76,18,0.0,469.376274359654,258.91543321222804,5.8899972860858805,24.800223806073646,284.62576461579243,55925.73357384126,50889.57655178201,128564.36021068576,204.93055052337056
76,19,0.0,474.15887731856157,278.86013317079346,5.73223824987527,24.53029945962998,287.495326391137,60233.78876489138,49526.53847892234,127165.07239872181,206.9966350016186
76,20,0.0,473.79447322724764,288.9778305849702,6.393307297434857,30.310583827716073,287.2766839363486,62419.21140635356,55238.17504983717,157130.0665628801,206.83921243417097
